PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Lassila Jussi,Jymy,10,2,2,4,0,9,20,-11,67,3.0,2020-2021
Väänänen Roni,Welhot,16,3,1,4,6,17,37,-20,24,12.5,2020-2021
Hytönen Tuukka,Steelers,21,4,0,4,0,8,23,-15,27,14.8,2020-2021
Junnila Samuli,Indians,11,4,0,4,0,10,13,-3,18,22.2,2020-2021
Jaakonsaari Jukka,Steelers,10,4,0,4,0,11,19,-8,8,50.0,2020-2021
Lomakin Joni,Tiikerit,26,0,3,3,6,17,35,-18,9,0.0,2020-2021
Kukko Arttu,Jymy,26,1,2,3,4,40,87,-47,36,2.8,2020-2021
Ahola Timi,Steelers,26,1,2,3,10,24,52,-28,40,2.5,2020-2021
Takala Tomi,Jymy,14,1,2,3,0,8,10,-2,10,10.0,2020-2021
Vaajala Matias,Classic,22,2,1,3,4,14,10,4,26,7.7,2020-2021
Stenberg Henri,LASB,19,2,1,3,0,12,17,-5,20,10.0,2020-2021
Saarnio Mikko,OLS,18,2,1,3,4,16,35,-19,14,14.3,2020-2021
Kantanen Teemu,Tiikerit,15,2,1,3,6,13,16,-3,13,15.4,2020-2021
Saari Arttu,Jymy,11,2,1,3,0,7,17,-10,20,10.0,2020-2021
Ruonakangas Riku,OLS,8,2,1,3,0,6,4,2,9,22.2,2020-2021
Kauhanen Jesper,Welhot,7,2,1,3,0,7,23,-16,31,6.5,2020-2021
Rissanen Mika,Welhot,24,3,0,3,0,9,41,-32,48,6.3,2020-2021
Eklund Emil,KrP,21,3,0,3,14,13,10,3,26,11.5,2020-2021
Tuomala Miro,KrP,26,0,2,2,0,6,2,4,0,-,2020-2021
Pohjonen Santtu,LASB,25,0,2,2,0,0,0,0,1,0.0,2020-2021
Kvist Niko,OLS,25,0,2,2,4,22,54,-32,4,0.0,2020-2021
Jääskeläinen Pietari,Steelers,24,0,2,2,0,0,0,0,1,0.0,2020-2021
Auvinen Jasper,Indians,21,1,1,2,0,5,10,-5,20,5.0,2020-2021
Pekari Elias,Oilers,19,1,1,2,0,6,3,3,12,8.3,2020-2021
Summanen Miko,Oilers,14,1,1,2,4,9,5,4,14,7.1,2020-2021
Rantaniemi Aapo,OLS,12,1,1,2,4,12,14,-2,15,6.7,2020-2021
Luoto Elmo,KrP,12,1,1,2,0,7,7,0,2,50.0,2020-2021
Sipilä Mikko,ErVi,10,1,1,2,2,8,15,-7,8,12.5,2020-2021
Heiskanen Mika,OLS,6,1,1,2,0,4,2,2,10,10.0,2020-2021
Saarinen Sami,Steelers,4,1,1,2,2,6,10,-4,11,9.1,2020-2021
Keskinen Joel,Tiikerit,9,2,0,2,0,4,11,-7,10,20.0,2020-2021
Lehto Julius,LASB,7,2,0,2,0,6,3,3,7,28.6,2020-2021
Jaanus Janne,Tiikerit,4,2,0,2,0,3,6,-3,11,18.2,2020-2021
Kuisma Niklas,Tiikerit,26,0,1,1,2,16,30,-14,23,0.0,2020-2021
Kivilompolo Vinski,OLS,26,0,1,1,2,5,5,0,0,-,2020-2021
Kanerva Jesse,KrP,26,0,1,1,0,0,0,0,2,0.0,2020-2021
Kaltiainen Joonas,Oilers,26,0,1,1,0,6,5,1,1,0.0,2020-2021
Laakso Markus,Happee,25,0,1,1,0,9,2,7,0,-,2020-2021
Kyllönen Olli,Welhot,25,0,1,1,0,4,36,-32,18,0.0,2020-2021
Kosonen Eero,Steelers,25,0,1,1,0,0,0,0,1,0.0,2020-2021
Kainulainen Santeri,ErVi,25,0,1,1,0,15,21,-6,0,-,2020-2021
Hassinen Miko,Happee,25,0,1,1,0,0,0,0,0,-,2020-2021
Fälden Oskari,TPS,25,0,1,1,0,0,1,-1,0,-,2020-2021
Aarela Ilmari,Happee,25,0,1,1,6,14,24,-10,41,0.0,2020-2021
Toriseva Lassi,Classic,24,0,1,1,0,0,0,0,1,0.0,2020-2021
Uurtio Niko,Welhot,22,0,1,1,4,8,46,-38,29,0.0,2020-2021
Taimisto Tommi,Happee,22,0,1,1,2,2,12,-10,20,0.0,2020-2021
Soininen Mirko,Welhot,21,0,1,1,0,6,21,-15,14,0.0,2020-2021
Latvala Miika,SPV,19,0,1,1,0,10,14,-4,8,0.0,2020-2021
Kupela Konsta,ErVi,16,0,1,1,0,9,15,-6,11,0.0,2020-2021
Salonen Vesa,Jymy,13,0,1,1,2,3,13,-10,3,0.0,2020-2021
Kärkkäinen Samu,Welhot,13,0,1,1,0,3,15,-12,19,0.0,2020-2021
woivalin juuso,Classic,10,0,1,1,2,7,6,1,4,0.0,2020-2021
Haarala Tino,Jymy,10,0,1,1,2,9,13,-4,1,0.0,2020-2021
Rissanen Aarne,ErVi,9,0,1,1,0,2,2,0,9,0.0,2020-2021
Keskitalo Kalle,OLS,8,0,1,1,2,3,9,-6,11,0.0,2020-2021
Syvänen Juho,Classic,22,1,0,1,0,6,4,2,7,14.3,2020-2021
Lippojoki Aatu,ErVi,21,1,0,1,0,13,14,-1,6,16.7,2020-2021
Lehtonen Konsta,LASB,21,1,0,1,0,10,18,-8,26,3.8,2020-2021
Kotka Timi,LASB,12,1,0,1,0,2,6,-4,13,7.7,2020-2021
Kareinen Miikka,Indians,11,1,0,1,4,10,7,3,15,6.7,2020-2021
Turula Veli-Pekka,ErVi,9,1,0,1,2,9,12,-3,7,14.3,2020-2021
Kurkikangas Atte,Steelers,9,1,0,1,0,5,11,-6,8,12.5,2020-2021
Järvinen Perttu,ErVi,5,1,0,1,0,5,6,-1,6,16.7,2020-2021
Tenhonen Daniel,ErVi,2,1,0,1,0,1,2,-1,2,50.0,2020-2021
Sipilä Nemo,Tiikerit,26,0,0,0,0,0,0,0,0,-,2020-2021
Sillanpää Oskar,Classic,26,0,0,0,12,0,0,0,0,-,2020-2021
Rantaniemi Iiro,OLS,26,0,0,0,0,0,0,0,0,-,2020-2021
Nordström Niko,Oilers,26,0,0,0,0,1,0,1,0,-,2020-2021
Kuisma Olli,TPS,26,0,0,0,0,0,0,0,0,-,2020-2021
Kirvesniemi Mikko,Indians,26,0,0,0,0,0,0,0,0,-,2020-2021
Beijar Jens,Tiikerit,26,0,0,0,0,0,0,0,0,-,2020-2021
Kronqvist Anton,SPV,25,0,0,0,0,0,0,0,0,-,2020-2021
Strandberg Santtu,ErVi,24,0,0,0,0,19,20,-1,1,0.0,2020-2021
Orste Ralfs,LASB,24,0,0,0,0,3,13,-10,3,0.0,2020-2021
Lallukka Ossi,Jymy,24,0,0,0,0,3,6,-3,1,0.0,2020-2021
Kunnap Lauri,Welhot,24,0,0,0,0,0,0,0,0,-,2020-2021
Virtanen Ville-Pekka,Happee,22,0,0,0,0,7,16,-9,8,0.0,2020-2021
Vesanen Juuso,LASB,22,0,0,0,4,5,14,-9,10,0.0,2020-2021
Mutka Roope,Jymy,21,0,0,0,0,0,0,0,0,-,2020-2021
Tuononen Roni,Welhot,19,0,0,0,2,3,2,1,5,0.0,2020-2021
Ripatti Antti,LASB,19,0,0,0,0,0,0,0,0,-,2020-2021
Hopsu Severi,Indians,19,0,0,0,0,0,0,0,0,-,2020-2021
Grönholm Roope,Steelers,19,0,0,0,2,5,15,-10,4,0.0,2020-2021
Aallonen Henri,Steelers,17,0,0,0,0,4,9,-5,11,0.0,2020-2021
Mäkelä Arttu,Tiikerit,15,0,0,0,4,6,15,-9,2,0.0,2020-2021
Koponen Tony,SPV,15,0,0,0,0,1,5,-4,1,0.0,2020-2021
Jäppinen Amos,Indians,15,0,0,0,0,5,7,-2,7,0.0,2020-2021
Hasu Rasmus,SPV,13,0,0,0,0,6,10,-4,0,-,2020-2021
Tammiranta Aaro,SPV,12,0,0,0,0,0,0,0,0,-,2020-2021
Manninen Eetu,Indians,12,0,0,0,0,2,6,-4,3,0.0,2020-2021
Lindstedt Tino,KrP,12,0,0,0,4,11,4,7,2,0.0,2020-2021
Junkkari Jonatan,Indians,12,0,0,0,2,3,3,0,0,-,2020-2021
Markelin Rasmus,Oilers,11,0,0,0,24,11,3,8,7,0.0,2020-2021
Peltola Aleksi,KrP,10,0,0,0,2,0,0,0,1,0.0,2020-2021
Honko Valtteri,SPV,10,0,0,0,0,0,0,0,0,-,2020-2021
Eskelinen Niko,Welhot,10,0,0,0,0,2,16,-14,6,0.0,2020-2021
Kärkkäinen Jussi,Welhot,9,0,0,0,0,0,0,0,0,-,2020-2021
Sipilä Osku,Steelers,8,0,0,0,4,5,11,-6,7,0.0,2020-2021
Silfsten Henri,LASB,8,0,0,0,0,4,2,2,2,0.0,2020-2021
Kerola Jacob,ErVi,8,0,0,0,2,2,2,0,3,0.0,2020-2021
Kokkola Joona,Welhot,7,0,0,0,0,1,5,-4,3,0.0,2020-2021
Jokisalo Juuso,Indians,7,0,0,0,0,0,0,0,0,-,2020-2021
Ainola Aki,LASB,7,0,0,0,0,0,0,0,0,-,2020-2021
Wikström Roope,KrP,6,0,0,0,0,2,2,0,1,0.0,2020-2021
Kunelius Jaska-Petteri,Happee,6,0,0,0,2,1,5,-4,11,0.0,2020-2021
Tynkkynen Jonatan,Jymy,5,0,0,0,2,1,6,-5,7,0.0,2020-2021
Tornberg Otso,OLS,5,0,0,0,0,1,9,-8,3,0.0,2020-2021
Siira Elias,KrP,5,0,0,0,0,2,1,1,2,0.0,2020-2021
Savolainen Sami,KrP,5,0,0,0,0,2,1,1,2,0.0,2020-2021
Pylväläinen Arttu,Happee,5,0,0,0,0,0,2,-2,0,-,2020-2021
Pokela Matias,Jymy,5,0,0,0,0,0,0,0,0,-,2020-2021
Ylikojola Mikko,Tiikerit,4,0,0,0,2,1,3,-2,1,0.0,2020-2021
Tenhonen Benjamin,ErVi,4,0,0,0,0,1,2,-1,2,0.0,2020-2021
Rauhala Jani,Oilers,4,0,0,0,0,3,2,1,9,0.0,2020-2021
Metra Ulvis,Steelers,4,0,0,0,0,0,0,0,0,-,2020-2021
Kurronen Otto,OLS,4,0,0,0,0,0,0,0,1,0.0,2020-2021
Karkulowski Emil,LASB,4,0,0,0,0,0,3,-3,0,-,2020-2021
Manninen Eetu,Jymy,3,0,0,0,0,0,1,-1,1,0.0,2020-2021
Kartano Aleksi,Steelers,3,0,0,0,0,0,0,0,0,-,2020-2021
Kangas Topias,Happee,3,0,0,0,2,0,2,-2,1,0.0,2020-2021
Vähäkangas Johannes,Oilers,2,0,0,0,0,0,0,0,0,-,2020-2021
Varjokumpu Juuso,TPS,2,0,0,0,0,0,0,0,0,-,2020-2021
Savolainen Oskari,ErVi,2,0,0,0,0,1,2,-1,1,0.0,2020-2021
Ruotsalainen Joel,Welhot,2,0,0,0,0,0,1,-1,0,-,2020-2021
Ritaranta Aapo,SPV,2,0,0,0,0,0,0,0,0,-,2020-2021
Ojala Touko,ErVi,2,0,0,0,0,0,0,0,0,-,2020-2021
Mettovaara Mikko,OLS,2,0,0,0,0,1,2,-1,0,-,2020-2021
Larte Joona,Oilers,2,0,0,0,0,1,0,1,1,0.0,2020-2021
Laine Valtteri,Happee,2,0,0,0,0,0,0,0,0,-,2020-2021
Kyllinen Miro,Steelers,2,0,0,0,0,0,0,0,0,-,2020-2021
Koskela Juuso,Jymy,2,0,0,0,0,0,1,-1,4,0.0,2020-2021
Helin Niilo,Classic,2,0,0,0,0,0,0,0,0,-,2020-2021
Hannula Hannes,Jymy,2,0,0,0,0,0,0,0,1,0.0,2020-2021
Haapala Otto,SPV,2,0,0,0,0,0,0,0,0,-,2020-2021
Auvinen Otso,Classic,2,0,0,0,0,0,0,0,0,-,2020-2021
Uusi-Laitila Santeri,SPV,1,0,0,0,0,0,0,0,0,-,2020-2021
Salokangas Julius,LASB,1,0,0,0,0,0,0,0,0,-,2020-2021
Pasanen Rasmus,Indians,1,0,0,0,0,0,2,-2,0,-,2020-2021
Ollikainen Aaro,TPS,1,0,0,0,0,0,0,0,1,0.0,2020-2021
Leino Gabriel,TPS,1,0,0,0,0,0,0,0,0,-,2020-2021
Laukkanen Jarno,Welhot,1,0,0,0,0,1,1,0,0,-,2020-2021
Laitinen Leevi,Tiikerit,1,0,0,0,0,0,0,0,0,-,2020-2021
Kuutsa Eero,TPS,1,0,0,0,0,0,0,0,0,-,2020-2021
Kuusela Aaro,Oilers,1,0,0,0,0,0,0,0,0,-,2020-2021
Korhonen Teemu,LASB,1,0,0,0,0,0,0,0,0,-,2020-2021
Korhonen Matti,LASB,1,0,0,0,0,1,2,-1,6,0.0,2020-2021
Karjanlahti Eero,SPV,1,0,0,0,0,0,0,0,0,-,2020-2021
Jääskeläinen Patrik,Steelers,1,0,0,0,0,0,0,0,0,-,2020-2021
Ilmivalta Topias,Oilers,1,0,0,0,0,0,0,0,0,-,2020-2021
Heinonen Valtteri,Oilers,1,0,0,0,0,0,0,0,0,-,2020-2021
Aymard Arno,ErVi,1,0,0,0,0,0,0,0,0,-,2020-2021
