PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Ukkonen Eemil,Happee,24,7,9,16,2,42,38,4,71,9.9,2021-2022
Salo Tuukka,Classic,23,8,8,16,0,49,26,23,42,19.0,2021-2022
Megyaszai Daniel,LASB,25,9,7,16,8,38,54,-16,58,15.5,2021-2022
Salo Nico,Classic,19,9,7,16,6,58,28,30,58,15.5,2021-2022
Kuusela Ville-Pertti,SPV,26,12,4,16,12,55,56,-1,80,15.0,2021-2022
Suominen Marius,TPS,23,12,4,16,2,27,12,15,46,26.1,2021-2022
Urmas Henri,SPV,25,1,14,15,6,59,51,8,49,2.0,2021-2022
Suomela Antti,Oilers,24,3,12,15,2,89,47,42,51,5.9,2021-2022
Lamminen Janne,Classic,22,3,12,15,4,61,26,35,29,10.3,2021-2022
Vänttilä Kimi,OLS,26,5,10,15,2,35,48,-13,52,9.6,2021-2022
Salo Juuso,Tiikerit,26,6,9,15,12,39,82,-43,57,10.5,2021-2022
Tiainen Tuomas,Tiikerit,25,7,8,15,2,31,67,-36,55,12.7,2021-2022
Suhanto Eppu,Happee,25,7,8,15,6,33,21,12,56,12.5,2021-2022
Vesterinen Waltteri,TPS,25,8,7,15,6,47,31,16,78,10.3,2021-2022
Tammiranta Aaro,SPV,21,9,6,15,2,32,23,9,55,16.4,2021-2022
Alatorvinen Joona,OLS,21,9,6,15,8,26,42,-16,73,12.3,2021-2022
Karjanlahti Eemeli,Jymy,26,11,4,15,10,44,58,-14,70,15.7,2021-2022
Arola Jesse,LASB,24,12,3,15,8,33,44,-11,73,16.4,2021-2022
Niemelä Petri,OLS,25,14,1,15,6,23,36,-13,58,24.1,2021-2022
Kapanen Lauri,ErVi,14,6,8,14,2,44,32,12,47,12.8,2021-2022
Veikkola Matias,Oilers,24,7,7,14,2,76,45,31,49,14.3,2021-2022
Stenfors Lauri,TPS,24,8,6,14,0,49,38,11,36,22.2,2021-2022
Heikkilä Jeri,SPV,22,9,5,14,2,40,23,17,70,12.9,2021-2022
Junnila Samuli,Indians,23,10,4,14,8,31,18,13,83,12.0,2021-2022
Autio Janne,SPV,26,2,11,13,4,36,42,-6,33,6.1,2021-2022
Juuranto Matias,Oilers,26,4,9,13,6,35,28,7,81,4.9,2021-2022
Akola Eemeli,Classic,26,4,9,13,8,61,34,27,33,12.1,2021-2022
Järvinen Perttu,ErVi,23,5,8,13,6,28,37,-9,52,9.6,2021-2022
Laine Olli-Akseli,TPS,22,5,8,13,4,48,22,26,58,8.6,2021-2022
Nurminen Janne,TPS,22,6,7,13,8,35,25,10,23,26.1,2021-2022
Krumins Morics,KrP,21,6,7,13,6,67,33,34,43,14.0,2021-2022
Niinikoski Juho,ErVi,26,7,6,13,2,21,19,2,60,11.7,2021-2022
Heikkinen Juuso,Happee,17,8,5,13,4,39,26,13,44,18.2,2021-2022
