PELAAJA,JOUKKUE,viimeinen,O,L,M,M/O,L/O,raw,raw_luokka,yhd_luokka_eb,L/O_luokka,eb_raw,alhpa_new,beta_new,eb_raw_luokka,Games Left,Mean_Goals,CI_Lower,CI_Upper,Final_Goals,Final_CI_Lower,Final_CI_Upper
Aarela Ilmari,ErVi,2025,17,45,3,0.17647058823529413,2.6470588235294117,0.06666666666666667,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08152465340166906,5.498874516323286,67.45044948833487,"Low,%",16,3.244,1,6,6.244,4,9
Aho Tuomas,ErVi,2025,14,16,1,0.07142857142857142,1.1428571428571428,0.0625,"Average Low,%","Low,% -- Average Low,spg","Average Low,spg",0.09099697306229873,3.498874516323286,38.45044948833487,"Low,%",16,1.554,0,3,2.5540000000000003,1,4
Ahola Juuso,KrP,2025,15,94,16,1.0666666666666667,6.266666666666667,0.1702127659574468,"High,%","High,% -- Very High,spg","Very High,spg",0.15885618816934122,18.498874516323287,116.45044948833487,"High,%",17,14.723,10,20,30.723,26,36
Ahola Vili,LASB,2025,17,14,0,0,0.8235294117647058,0,"Low,%","Low,% -- Low,spg","Low,spg",0.06855538275661027,2.498874516323286,36.45044948833487,"Low,%",16,0.864,0,2,0.864,0,2
Ainoa Luka,KrP,2025,16,10,2,0.125,0.625,0.2,"High,%","High,% -- Low,spg","Low,spg",0.13863828043246426,4.498874516323286,32.45044948833487,"High,%",17,1.278,0,3,3.278,2,5
Alkki Lauri,KrP,2025,14,5,2,0.14285714285714285,0.35714285714285715,0.4,"Very High,%","Very High,% -- Low,spg","Low,spg",0.16389074132411177,4.498874516323286,27.45044948833487,"Very High,%",17,0.847,0,2,2.847,2,4
Arkkila Olli,KrP,2025,6,9,1,0.16666666666666666,1.5,0.1111111111111111,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.11125038189425676,3.498874516323286,31.45044948833487,"Average High,%",17,2.604,1,5,3.604,2,6
Aro Konsta,KrP,2025,8,8,2,0.25,1,0.25,"Very High,%","High,% -- Low,spg","Low,spg",0.1477441086065656,4.498874516323286,30.45044948833487,"High,%",17,2.141,0,4,4.141,2,6
Astala Aaro,Oilers,2025,13,124,22,1.6923076923076923,9.538461538461538,0.1774193548387097,"High,%","Very High,% -- Very High,spg","Very High,spg",0.16728439278893906,24.498874516323287,146.45044948833487,"Very High,%",15,20.475,15,26.100000000000023,42.475,37,48.10000000000002
Auranen Leevi,Indians,2025,18,37,6,0.3333333333333333,2.0555555555555554,0.16216216216216217,"High,%","High,% -- Average High,spg","Average High,spg",0.14295727937247812,8.498874516323287,59.45044948833487,"High,%",15,3.861,2,6,9.861,8,12
Autio Janne,SPV,2025,18,28,2,0.1111111111111111,1.5555555555555556,0.07142857142857142,"Average Low,%","Low,% -- Average Low,spg","Average Low,spg",0.08917412157771784,4.498874516323286,50.45044948833487,"Low,%",15,1.908,0,4,3.908,2,6
Auvinen Jasper,Indians,2025,18,137,13,0.7222222222222222,7.611111111111111,0.0948905109489051,"Average High,%","Average Low,% -- Very High,spg","Very High,spg",0.09720182392748387,15.498874516323287,159.45044948833487,"Average Low,%",15,10.23,6,15,23.23,19,28
Dias Daniel,FBC,2025,6,2,0,0,0.3333333333333333,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.10220157782847636,2.498874516323286,24.45044948833487,"Average Low,%",16,0.478,0,1,0.478,0,1
Dias Lino,FBC,2025,3,1,0,0,0.3333333333333333,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",16,0.523,0,1,0.523,0,1
Dumpis Markuss,Indians,2025,4,2,0,0,0.5,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.10220157782847636,2.498874516323286,24.45044948833487,"Average Low,%",15,0.683,0,2,0.683,0,2
Einiö Niko,LASB,2025,17,178,14,0.8235294117647058,10.470588235294118,0.07865168539325842,"Average Low,%","Low,% -- Very High,spg","Very High,spg",0.08230899236413751,16.498874516323287,200.45044948833487,"Low,%",16,12.669,8,17,26.669,22,31
Eklund Alex,TPS,2025,18,49,11,0.6111111111111112,2.7222222222222223,0.22448979591836735,"Very High,%","Very High,% -- Average High,spg","Average High,spg",0.18892637643276322,13.498874516323287,71.45044948833487,"Very High,%",15,6.373,3,10,17.373,14,21
Eloluoto Lauri,TPS,2025,18,92,13,0.7222222222222222,5.111111111111111,0.14130434782608695,"High,%","High,% -- High,spg","High,spg",0.1354199532252862,15.498874516323287,114.45044948833487,"High,%",15,9.057,5,13,22.057000000000002,18,26
Forsman Juuso,FBC,2025,17,121,8,0.47058823529411764,7.117647058823529,0.06611570247933884,"Average Low,%","Low,% -- Very High,spg","Very High,spg",0.07318816046775117,10.498874516323287,143.45044948833487,"Low,%",16,7.589,4,11,15.589,12,19
Forss Onni,Indians,2025,11,1,0,0,0.09090909090909091,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",15,0.137,0,1,0.137,0,1
Fredriksson Mikael,FBC,2025,5,5,0,0,1,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09103218937763437,2.498874516323286,27.45044948833487,"Average Low,%",16,1.4,0,3,1.4,0,3
Grönfors Samuli,Happee,2025,13,4,1,0.07692307692307693,0.3076923076923077,0.25,"Very High,%","High,% -- Low,spg","Low,spg",0.13228034245188738,3.498874516323286,26.45044948833487,"High,%",15,0.519,0,2,1.5190000000000001,1,3
Haapala Arttu,Oilers,2025,11,13,0,0,1.1818181818181819,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.07048921952726021,2.498874516323286,35.45044948833487,"Low,%",15,1.223,0,3,1.223,0,3
Haataja Elias,TPS,2025,18,22,5,0.2777777777777778,1.2222222222222223,0.22727272727272727,"Very High,%","Very High,% -- Average Low,spg","Average Low,spg",0.16870188271754633,7.498874516323286,44.45044948833487,"Very High,%",15,2.658,1,5,7.6579999999999995,6,10
Haikola Kai,OLS,2025,11,8,1,0.09090909090909091,0.7272727272727273,0.125,"Average High,%","Average High,% -- Low,spg","Low,spg",0.1149038708825515,3.498874516323286,30.45044948833487,"Average High,%",14,1.083,0,2,2.083,1,3
Hakanen Riku,SPV,2025,18,131,17,0.9444444444444444,7.277777777777778,0.1297709923664122,"Average High,%","High,% -- Very High,spg","Very High,spg",0.12706951710692493,19.498874516323287,153.45044948833487,"High,%",15,12.429,8,17,29.429000000000002,25,34
Hakola Jesper,TPS,2025,16,4,1,0.0625,0.25,0.25,"Very High,%","High,% -- Low,spg","Low,spg",0.13228034245188738,3.498874516323286,26.45044948833487,"High,%",15,0.468,0,1,1.468,1,2
Halmela Teemu,KrP,2025,1,3,0,0,3,0,"Low,%","Average Low,% -- High,spg","High,spg",0.09818586966287716,2.498874516323286,25.45044948833487,"Average Low,%",17,4.639,2,8,4.639,2,8
Harinen Simo,LASB,2025,14,1,0,0,0.07142857142857142,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",16,0.12,0,1,0.12,0,1
Harjula Eero,Indians,2025,11,10,0,0,0.9090909090909091,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07700585217537802,2.498874516323286,32.45044948833487,"Low,%",15,1.038,0,2,1.038,0,2
Harjula Tuomas,Indians,2025,18,29,6,0.3333333333333333,1.6111111111111112,0.20689655172413793,"Very High,%","Very High,% -- Average Low,spg","Average Low,spg",0.16518562229957193,8.498874516323287,51.45044948833487,"Very High,%",15,3.504,1,6,9.504,7,12
Harmaala Aatu,LASB,2025,5,29,1,0.2,5.8,0.034482758620689655,"Low,%","Low,% -- Very High,spg","Very High,spg",0.06800474147687613,3.498874516323286,51.45044948833487,"Low,%",16,5.85,3,9,6.85,4,10
Haudanlampi Tuukka,OLS,2025,18,18,2,0.1111111111111111,1,0.1111111111111111,"Average High,%","Average High,% -- Low,spg","Low,spg",0.11121939491971962,4.498874516323286,40.45044948833487,"Average High,%",14,1.422,0,3,3.4219999999999997,2,5
Haukkala Konsta,SPV,2025,17,138,12,0.7058823529411765,8.117647058823529,0.08695652173913043,"Average Low,%","Low,% -- Very High,spg","Very High,spg",0.0903635643437533,14.498874516323287,160.45044948833487,"Low,%",15,10.226,6,15,22.226,18,27
Haverinen Aaro,OLS,2025,16,26,3,0.1875,1.625,0.11538461538461539,"Average High,%","Average High,% -- Average High,spg","Average High,spg",0.113494809117245,5.498874516323286,48.45044948833487,"Average High,%",14,2.36,1,4,5.359999999999999,4,7
