PELAAJA,JOUKKUE,viimeinen,O,L,M,M/O,L/O,raw,raw_luokka,yhd_luokka_eb,L/O_luokka,eb_raw,alhpa_new,beta_new,eb_raw_luokka,Games Left,Mean_Goals,CI_Lower,CI_Upper,Final_Goals,Final_CI_Lower,Final_CI_Upper
Ruonakangas Riku,OLS,2025,4,5,0,0,1.25,0,"Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.09103218937763437,2.498874516323286,27.45044948833487,"Average Low,%",14,1.539,0,3,1.539,0,3
Ryytty Valtteri,LASB,2025,16,14,1,0.0625,0.875,0.07142857142857142,"Average Low,%","Average Low,% -- Low,spg","Low,spg",0.0959898866937984,3.498874516323286,36.45044948833487,"Average Low,%",16,1.253,0,3,2.253,1,4
Römpötti Oula,Happee,2025,2,1,0,0,0.5,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",15,0.742,0,2,0.742,0,2
Saarela Miko,Jymy,2025,18,13,0,0,0.7222222222222222,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07048921952726021,2.498874516323286,35.45044948833487,"Low,%",14,0.666,0,2,0.666,0,2
Saari Arttu,Jymy,2025,16,23,3,0.1875,1.4375,0.13043478260869565,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.12098614157236455,5.498874516323286,45.45044948833487,"Average High,%",14,2.176,0,4,5.176,3,7
Salin Eemeli,Classic,2025,17,101,17,1,5.9411764705882355,0.16831683168316833,"High,%","High,% -- Very High,spg","Very High,spg",0.15794899570751084,19.498874516323287,123.45044948833487,"High,%",14,11.357,7,16,28.357,24,33
Salmi Markus,Oilers,2025,18,108,19,1.0555555555555556,6,0.17592592592592593,"High,%","Very High,% -- Very High,spg","Very High,spg",0.16480490945526222,21.498874516323287,130.45044948833487,"Very High,%",15,12.646,8,17,31.646,27,36
Salminen Olli,ErVi,2025,15,42,4,0.26666666666666666,2.8,0.09523809523809523,"Average High,%","Average Low,% -- Average High,spg","Average High,spg",0.10083520856591609,6.498874516323286,64.45044948833487,"Average Low,%",16,4.211,2,7,8.211,6,11
Salminen Sami,LASB,2025,11,14,1,0.09090909090909091,1.2727272727272727,0.07142857142857142,"Average Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.0959898866937984,3.498874516323286,36.45044948833487,"Average Low,%",16,1.704,0,3,2.7039999999999997,1,4
Salminen Toni,Classic,2025,17,27,4,0.23529411764705882,1.588235294117647,0.14814814814814814,"High,%","High,% -- Average Low,spg","Average Low,spg",0.1314219503273947,6.498874516323286,49.45044948833487,"High,%",14,2.532,1,5,6.532,5,9
Salo Tuukka,Classic,2025,18,13,2,0.1111111111111111,0.7222222222222222,0.15384615384615385,"High,%","High,% -- Low,spg","Low,spg",0.12690599361239865,4.498874516323286,35.45044948833487,"High,%",14,1.153,0,3,3.153,2,5
Salokangas Julius,LASB,2025,10,28,2,0.2,2.8,0.07142857142857142,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08917412157771784,4.498874516323286,50.45044948833487,"Low,%",16,3.73,1,6,5.73,3,8
Salokangas Tiitus,Classic,2025,15,73,19,1.2666666666666666,4.866666666666666,0.2602739726027397,"Very High,%","Very High,% -- High,spg","High,spg",0.2252359693596906,21.498874516323287,95.45044948833487,"Very High,%",14,12.515,8,17,31.515,27,36
Santanen Mikko,SPV,2025,7,4,0,0,0.5714285714285714,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09447380156716563,2.498874516323286,26.45044948833487,"Average Low,%",15,0.715,0,2,0.715,0,2
Savela Iiro,OLS,2025,17,111,10,0.5882352941176471,6.529411764705882,0.09009009009009009,"Average Low,%","Average Low,% -- Very High,spg","Very High,spg",0.09365929125188772,12.498874516323287,133.45044948833487,"Average Low,%",14,7.88,4,12,17.88,14,22
Seppälä Juho,Oilers,2025,11,12,0,0,1.0909090909090908,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07253532402151734,2.498874516323286,34.45044948833487,"Low,%",15,1.069,0,2,1.069,0,2
Siekkinen Paavo,Happee,2025,7,7,1,0.14285714285714285,1,0.14285714285714285,"High,%","Average High,% -- Low,spg","Low,spg",0.11880547078607977,3.498874516323286,29.45044948833487,"Average High,%",15,1.609,0,3,2.609,1,4
Sikkinen Eetu,Classic,2025,18,37,3,0.16666666666666666,2.0555555555555554,0.08108108108108109,"Average Low,%","Average Low,% -- Average High,spg","Average High,spg",0.09249508731472675,5.498874516323286,59.45044948833487,"Average Low,%",14,2.391,0,5,5.391,3,8
Sillanpää Oliver,ErVi,2025,17,64,13,0.7647058823529411,3.764705882352941,0.203125,"Very High,%","Very High,% -- High,spg","High,spg",0.1792804387722081,15.498874516323287,86.45044948833487,"Very High,%",16,9.055,5,13,22.055,18,26
Silvonen Jesper,Oilers,2025,17,53,4,0.23529411764705882,3.1176470588235294,0.07547169811320754,"Average Low,%","Low,% -- High,spg","High,spg",0.08613433797141334,6.498874516323286,75.45044948833487,"Low,%",15,3.782,1.9000000000000057,6,7.782,5.900000000000006,10
Simonen Topias,KrP,2025,16,29,4,0.25,1.8125,0.13793103448275862,"High,%","High,% -- Average High,spg","Average High,spg",0.12631326997049358,6.498874516323286,51.45044948833487,"High,%",17,3.51,1,6,7.51,5,10
Sorvali Eetu,Oilers,2025,17,51,9,0.5294117647058824,3,0.17647058823529413,"High,%","High,% -- High,spg","High,spg",0.15655281344669641,11.498874516323287,73.45044948833487,"High,%",15,5.957,3,9,14.957,12,18
